Name	Key	Frames	X	Y	Size_w	Size_h
{aixin}	[0]	6	0	0	0.0625	0.0625
{chouchang}	[1]	6	0.375	0	0.0625	0.0625
{haungzhang}	[2]	6	0.75	0	0.0625	0.0625
{huaji}	[3]	6	0.125	0.0625	0.0625	0.0625
{jingdai}	[4]	6	0.5	0.0625	0.0625	0.0625
{koubi}	[5]	6	0.875	0.0625	0.0625	0.0625
{kuku}	[6]	6	0.25	0.125	0.0625	0.0625
{lijie}	[7]	6	0.625	0.125	0.0625	0.0625
{liuhan}	[8]	6	0	0.1875	0.0625	0.0625
{liukoushui}	[9]	6	0.375	0.1875	0.0625	0.0625
{nanguo}	[a]	6	0.75	0.1875	0.0625	0.0625
{qidai}	[b]	6	0.125	0.25	0.0625	0.0625
{qigugu}	[c]	6	0.5	0.25	0.0625	0.0625
{shengqi}	[d]	6	0.875	0.25	0.0625	0.0625
{tushetou}	[e]	6	0.25	0.3125	0.0625	0.0625
{yihuo}	[f]	6	0.625	0.3125	0.0625	0.0625
{zhenghuaji}	[g]	6	0	0.375	0.0625	0.0625
